,state,county_name,totalvotes,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,county_fips,State,Abv
72,Alaska,District 14,11443,0.37236738617495413,0.004369483527047103,0.031110722712575374,0.005418159573538407,0.586734248011885,02014,Alaska,AK
73,Alaska,District 15,5559,0.4716675661090124,0.0064759848893685915,0.03543802842237813,0.0059363194819212085,0.48048210109731965,02015,Alaska,AK
74,Alaska,District 16,8118,0.5264843557526484,0.007883715200788372,0.025868440502586843,0.0066518847006651885,0.43311160384331115,02016,Alaska,AK
75,Alaska,District 17,7239,0.5713496339273381,0.008841000138140627,0.025417875397154302,0.006216328222130129,0.3881751623152369,02017,Alaska,AK
76,Alaska,District 18,7720,0.6063471502590674,0.010233160621761658,0.02033678756476684,0.005569948186528497,0.35751295336787564,02018,Alaska,AK
77,Alaska,District 19,5301,0.5881909073759668,0.009809469911337484,0.0207508017355216,0.008677607998490851,0.3725712129786833,02019,Alaska,AK
78,Alaska,District 2,6136,0.3428943937418514,0.0048891786179921775,0.04677314211212516,0.006681877444589309,0.598761408083442,02002,Alaska,AK
79,Alaska,District 20,7497,0.6510604241696679,0.007069494464452448,0.02040816326530612,0.003601440576230492,0.31786047752434304,02020,Alaska,AK
80,Alaska,District 21,9429,0.5741860218474918,0.007423904974016332,0.021529324424647365,0.0055149008378407045,0.3913458479160038,02021,Alaska,AK
81,Alaska,District 22,9520,0.4782563025210084,0.004831932773109244,0.02100840336134454,0.0038865546218487396,0.49201680672268905,02022,Alaska,AK
82,Alaska,District 23,7739,0.4923116681741827,0.006848430029719602,0.02196666235947797,0.00658999870784339,0.4722832407287763,02023,Alaska,AK
83,Alaska,District 24,10428,0.45416187188339086,0.004411200613732259,0.021288837744533946,0.004411200613732259,0.5157268891446106,02024,Alaska,AK
84,Alaska,District 25,9325,0.4932975871313673,0.007184986595174263,0.021554959785522788,0.005361930294906166,0.4726005361930295,02025,Alaska,AK
85,Alaska,District 26,10111,0.45079616259519334,0.005439620215606765,0.020472752447829097,0.004747304915438631,0.5185441598259322,02026,Alaska,AK
86,Alaska,District 27,9506,0.5095729013254786,0.006206606353881759,0.023984851672627813,0.005365032610982538,0.4548706080370292,02027,Alaska,AK
