,county,state_y,median_family_income,1p0c,1p1c,1p2c,1p3c,1p4c,2p0c,2p1c,2p2c,2p3c,2p4c,median_family_cost,income_cost_diff,state,county_name,totalvotes,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,county_fips,State,Abv
75,Archer,Texas,85916.5859375,5662.50552,8053.34112,8053.34112,10995.90816,10995.90816,6349.74972,8053.34112,8053.34112,10995.90816,10995.90816,8053.34112,77863.2448175,Texas,Archer,4796,0.09299416180150125,0.0008340283569641367,0.009382819015846538,0.0002085070892410342,0.896580483736447,48009,Texas,TX
76,Archuleta,Colorado,63746.38671875,9348.0,12396.0,12396.0,15744.0,15744.0,9408.0,12396.0,12396.0,15744.0,15744.0,12396.0,51350.38671875,Colorado,Archuleta,9144,0.40879265091863515,0.0020778652668416446,0.013123359580052493,0.00853018372703412,0.5674759405074365,08007,Colorado,CO
77,Arenac,Michigan,54604.5546875,5964.0,8808.0,8808.0,11820.0,11820.0,7056.0,8808.0,8808.0,11820.0,11820.0,8808.0,45796.5546875,Michigan,Arenac,8831,0.31412071113124224,0.0013588495074170536,0.010984033518287849,0.0022647491790284227,0.6712716566640244,26011,Michigan,MI
78,Arkansas,Arkansas,58720.07421875,6072.0,8292.0,8292.0,10488.0,10488.0,6288.0,8292.0,8292.0,10488.0,10488.0,8292.0,50428.07421875,Arkansas,Arkansas,6292,0.28893833439287986,0.0025429116338207248,0.007310870947234584,0.017164653528289893,0.684043229497775,05001,Arkansas,AR
79,Arlington,Virginia,165123.890625,21275.334,24818.8764,24818.8764,31821.5976,31821.5976,21767.4912,24818.8764,24818.8764,31821.5976,31821.5976,24818.8764,140305.014225,Virginia,Arlington,130739,0.8057580370050252,0.0,0.014043246468154108,0.009492194371993055,0.17070652215482757,51013,Virginia,VA
80,Armstrong,Pennsylvania,66452.078125,6180.0,9360.0,9360.0,11640.0,11640.0,7428.0,9360.0,9360.0,11640.0,11640.0,9360.0,57092.078125,Pennsylvania,Armstrong,36370,0.2325268078086335,0.0,0.011657959857025021,0.0,0.7558152323343414,42005,Pennsylvania,PA
81,Armstrong,Texas,81611.109375,8531.562,12288.7044,12288.7044,16764.7224,16764.7224,9562.40256,12288.7044,12288.7044,16764.7224,16764.7224,12288.7044,69322.404975,Texas,Armstrong,1112,0.06744604316546762,0.0,0.0017985611510791368,0.0,0.9307553956834532,48011,Texas,TX
82,Aroostook,Maine,57900.66796875,5904.0,8808.0,8808.0,11904.0,11904.0,7260.0,8808.0,8808.0,11904.0,11904.0,8808.0,49092.66796875,Maine,Aroostook,36210,0.38541839270919637,0.006434686550676609,0.011626622479977906,0.01436067384700359,0.5821596244131455,23003,Maine,ME
83,Arthur,Nebraska,69470.9453125,5856.0,8928.0,8928.0,11388.0,11388.0,6780.0,8928.0,8928.0,11388.0,11388.0,8928.0,60542.9453125,Nebraska,Arthur,284,0.07394366197183098,0.0,0.01056338028169014,0.0,0.9154929577464789,31005,Nebraska,NE
84,Ascension,Louisiana,95380.84375,10108.09056,12896.0904,12896.0904,16422.4656,16422.4656,10897.38792,12896.0904,12896.0904,16422.4656,16422.4656,12896.0904,82484.75335,Louisiana,Ascension,62325,0.32730044123545926,0.0,0.01309265944645006,0.006787003610108303,0.6528198957079824,22005,Louisiana,LA
85,Ashe,North Carolina,55303.82421875,6372.0,8316.0,8316.0,11556.0,11556.0,6420.0,8316.0,8316.0,11556.0,11556.0,8316.0,46987.82421875,North Carolina,Ashe,15814,0.26331099026179333,0.0014544074870368028,0.007967623624636398,0.0031617554066017454,0.7241052232199318,37009,North Carolina,NC
86,Ashland,Ohio,66593.7734375,5880.0,8916.0,8916.0,11388.0,11388.0,6768.0,8916.0,8916.0,11388.0,11388.0,8916.0,57677.7734375,Ohio,Ashland,26405,0.24771823518273053,0.0,0.013065707252414316,0.004241620905131604,0.7349744366597235,39005,Ohio,OH
87,Ashland,Wisconsin,61142.35546875,6264.0,8808.0,8808.0,10956.0,10956.0,6720.0,8808.0,8808.0,10956.0,10956.0,8808.0,52334.35546875,Wisconsin,Ashland,8757,0.5482471165924403,0.0006851661527920521,0.007993605115907274,0.004453579993148339,0.438620532145712,55003,Wisconsin,WI
88,Ashley,Arkansas,57424.21875,5748.0,7848.0,7848.0,10392.0,10392.0,6756.0,7848.0,7848.0,10392.0,10392.0,7848.0,49576.21875,Arkansas,Ashley,7926,0.2681049709815796,0.0011355034065102195,0.0031541761291950542,0.027630582891748676,0.6999747665909665,05003,Arkansas,AR
89,Ashtabula,Ohio,59115.40234375,5964.0,8808.0,8808.0,11796.0,11796.0,6684.0,8808.0,8808.0,11796.0,11796.0,8808.0,50307.40234375,Ohio,Ashtabula,44147,0.3736833759938388,0.0,0.012662242054952772,0.004552970756789816,0.6091014111944186,39007,Ohio,OH
