,"('total_cost', '1p0c')","('total_cost', '1p1c')","('total_cost', '1p2c')","('total_cost', '1p3c')","('total_cost', '1p4c')","('total_cost', '2p0c')","('total_cost', '2p1c')","('total_cost', '2p2c')","('total_cost', '2p3c')","('total_cost', '2p4c')",county_name,noHS,HS,someCol,Col
42,33335.865,50911.5276,63249.4776,75147.6738,78380.29980000001,45562.7184,63234.504,74252.0418,84655.0428,88276.8162,Allegany ,9.00096605483194,35.24101402445118,33.38552250241514,22.37249741830174
43,35176.5558,51195.3924,61991.001000000004,74667.2022,80138.7918,47693.0256,63757.4268,74226.04980000001,85149.255,91209.06779999999,Alleghany ,20.54157222951211,31.13443874507933,27.93749254443517,20.3864964809734
44,35176.5558,51195.3924,61991.001000000004,74667.2022,80138.7918,47693.0256,63757.4268,74226.04980000001,85149.255,91209.06779999999,Alleghany ,10.69647310295689,42.09120057000356,31.91129319558247,15.30103313145707
45,34433.1324,54845.1216,71198.4732,86882.3556,91950.48,46449.4956,65896.7172,81142.6116,94893.1176,101057.3316,Allegheny ,4.914186635901332,25.95803056087318,25.83745672240669,43.2903260808188
46,33603.3099,50284.2081,63481.1103,76981.7301,82484.92259999999,46071.3891,62678.0862,75305.3991,87249.95939999999,92812.83989999999,Allen ,9.936967447241873,28.22404075221257,31.95055419634499,29.88843760420056
47,33603.3099,50284.2081,63481.1103,76981.7301,82484.92259999999,46071.3891,62678.0862,75305.3991,87249.95939999999,92812.83989999999,Allen ,7.343513229980184,36.18137312041031,37.76663946846952,18.70847418113999
48,33603.3099,50284.2081,63481.1103,76981.7301,82484.92259999999,46071.3891,62678.0862,75305.3991,87249.95939999999,92812.83989999999,Allen ,14.07944780955064,41.61853782222848,26.89815466967179,17.40385969854909
49,33603.3099,50284.2081,63481.1103,76981.7301,82484.92259999999,46071.3891,62678.0862,75305.3991,87249.95939999999,92812.83989999999,Allen ,8.852802514405447,40.31488271928293,31.71381176881439,19.11850299749723
50,35485.4736,48041.2212,57738.8496,70788.6384,77160.6096,47883.0708,61034.3028,69929.232,82361.244,88028.262,Allen Parish,20.22160664819945,43.32409972299169,24.3213296398892,12.13296398891967
51,32821.254,42644.3436,50419.2948,61210.0836,65123.1036,42794.5752,54169.6056,60670.7928,70628.1624,74967.3048,Allendale ,23.80547525930964,39.58510457405203,26.25403842883863,10.35538173779969
52,32169.8472,47681.7396,61304.5308,76621.0728,81062.0688,44957.502,59136.2748,72616.1424,85764.8616,90442.6404,Alpena ,7.310145737300368,36.2387670531266,39.64706430134562,16.80402290822741
53,45336.0528,64915.5816,78177.2232,100075.6056,108568.476,60387.5856,79509.1524,91045.242,111005.238,118757.484,Alpine ,6.29514963880289,25.69659442724458,28.68937048503612,39.3188854489164
54,46197.018,65148.024,79080.1704,102434.6364,110302.8276,60234.726,80090.016,92165.1324,112465.2888,121944.6,Amador ,8.6903073286052,30.65090622537431,41.14105594956659,19.5177304964539
55,40351.3944,58358.0628,71721.258,87160.0488,93952.512,53120.7132,70464.1644,82586.9472,96915.2112,103155.6444,Amelia ,14.54488583046606,43.92659785215306,23.83484516734438,17.69367115003649
56,35560.4976,52133.238,65204.3616,79315.758,85175.9352,47902.3092,65351.3208,76973.0856,89400.1464,95343.8316,Amherst ,12.34066951881092,38.27459974418912,27.57023772769373,21.81449300930623
57,36526.4352,46885.884,54630.486,64842.8616,70528.5756,48722.4084,59751.3456,66687.4632,76006.6404,82020.8616,Amite ,14.6037208301968,43.21970104312292,31.57328745026347,10.60329067641682
58,40257.4632,66018.99,87010.0668,111381.8904,117923.73,54289.5816,79667.0856,99475.8396,121199.604,128100.876,Anchorage Municipality,5.844955305413011,23.71399602714783,33.66888760139049,36.77216106604867
59,34841.0712,49740.7044,59680.20696,72622.78488,77721.48888,47661.51432,62248.98264,71501.544,83115.06,88390.95360000001,Anderson ,14.4335825186889,37.66532489936746,31.45485911443358,16.44623346751006
60,34841.0712,49740.7044,59680.20696,72622.78488,77721.48888,47661.51432,62248.98264,71501.544,83115.06,88390.95360000001,Anderson ,8.866752751644839,34.21877882309537,31.61163376990715,25.30283465535264
61,34841.0712,49740.7044,59680.20696,72622.78488,77721.48888,47661.51432,62248.98264,71501.544,83115.06,88390.95360000001,Anderson ,14.17289481430428,30.52761564252228,30.59294837278425,24.70654117038919
62,34841.0712,49740.7044,59680.20696,72622.78488,77721.48888,47661.51432,62248.98264,71501.544,83115.06,88390.95360000001,Anderson ,10.13828252013956,33.55680178287635,31.88718192280292,24.41773377418118
63,34841.0712,49740.7044,59680.20696,72622.78488,77721.48888,47661.51432,62248.98264,71501.544,83115.06,88390.95360000001,Anderson ,17.94033990738346,38.67798124162572,31.40499753179286,11.97668131919795
64,36715.9572,55897.0836,71390.25,88054.9272,94836.0936,51082.1076,70241.232,83936.748,98742.75,105707.7072,Andrew ,6.495166573460094,37.65279220260446,28.57713509626907,27.27490612766638
65,37714.98,53762.478,63827.3148,76587.8316,81850.1304,51635.4432,66335.8416,75635.9532,87176.1036,92514.522,Andrews ,23.93558951965066,31.30458515283843,25.93704512372635,18.82278020378457
66,37008.9492,55065.3576,68141.25,83224.4592,89385.3864,49919.1504,68612.3904,79991.9352,93091.1664,99621.1524,Androscoggin ,8.211830868569049,35.56811081024787,33.29905228077484,22.92100604040825
67,37105.0992,48733.6704,57931.494,69345.018,74637.6972,48661.1808,60892.3128,69416.7828,80664.8376,85673.6136,Angelina ,16.19603967385549,31.60672055345735,34.15516571952985,18.04207405315732
68,44983.8276,75265.4592,90736.6932,112916.1324,118469.8008,60908.514,85972.4412,100099.1484,119861.6604,125860.2,Anne Arundel ,6.595701410211259,22.51551331590617,27.98671633573246,42.90206893815011
69,38851.1136,69448.1664,89981.2092,114664.008,121006.092,52464.9552,80250.774,98896.6524,121172.568,127720.596,Anoka ,5.857053011705991,27.43340569272281,35.42878010184415,31.28076119372705
70,34256.4,48150.6912,58201.8276,69314.4204,73979.502,45143.7804,59905.23,69209.6952,79252.5468,84956.9412,Anson ,17.52171467849778,41.02980691120415,29.69443229394489,11.75404611635318
71,37512.978,55067.4312,74145.3108,90128.9592,97312.8576,53911.9692,70851.3048,87815.5308,102035.73,109415.7768,Antelope ,7.678075855689177,35.6845513413506,38.22849213691027,18.40888066604995
72,33601.0428,50019.4572,64196.9352,79839.4044,84984.4692,47711.022,61761.0708,75790.4184,88951.7172,94334.9592,Antrim ,6.876239025771735,31.07335032568677,32.05890682526197,29.99150382327953
73,37445.4204,53914.254,67992.9312,82888.0488,89544.8028,52029.984,68044.008,81151.7988,94389.6444,102076.77,Apache ,17.82021623152826,31.04197157830131,38.31027807941079,12.82753411075964
74,33254.8212,48263.352,57824.0268,68738.0856,73089.6444,43932.624,60094.1304,68090.256,77869.9332,82331.1792,Appanoose ,9.133894591165955,35.54376657824933,36.4433168031369,18.87902202744781
75,33770.5692,45764.3904,54211.5936,66575.4252,71111.8824,44864.0064,57553.488,65149.4184,76567.008,82231.8516,Appling ,22.20422706292007,38.39177261316706,29.69471212243906,9.709288201473804
76,36140.7192,52406.9592,65412.6744,79198.8636,85023.768,48408.4224,65571.5268,77041.998,89148.2232,95068.1196,Appomattox ,11.10719633577028,38.42156258257729,30.96978772130715,19.50145336034528
77,35612.5404,51224.3256,61699.1772,77728.5348,82838.8596,48637.1772,62985.2928,73515.5976,87568.3296,92718.744,Aransas ,11.29111438389789,32.96787214312987,30.97147220858561,24.76954126438662
78,45194.2116,74038.2888,91131.234,115581.1992,121572.228,58755.27,85423.1724,101250.4104,123230.868,129681.96,Arapahoe ,7.930632729879907,19.66571070084245,27.9124843161857,44.49117225309195
79,34558.6848,49478.0388,59979.516,73509.9312,79119.9252,48106.7868,62504.3088,73156.2132,84825.984,90616.3416,Archer ,9.342847660139396,38.08496515101228,30.11948224361102,22.45270494523731
80,39417.9468,57635.3784,69933.5856,84012.9552,89112.6324,49748.478,69553.6176,80001.5796,92231.496,97590.2808,Archuleta ,5.963707699852868,21.85384992643453,32.25110348209907,39.93133889161354
81,32721.8436,48418.7016,61964.268,76116.1056,80406.8376,44960.9064,59497.008,72990.486,84977.73,89485.9752,Arenac ,11.1995049942544,38.56625121541589,35.89675594448864,14.33748784584107
82,33446.8212,46088.5872,56318.238,67403.8296,72209.262,44478.48,57722.0976,67032.6972,77055.4332,82953.6912,Arkansas ,13.31331331331331,41.87520854187521,28.23656990323657,16.57490824157491
83,57630.492,86196.5628,107480.7888,133759.416,141248.028,71190.4452,99173.9652,118614.258,143387.784,152313.132,Arlington ,5.10730529119134,7.42115669512385,11.16747465081826,76.30406336286654
84,35498.6304,54006.9024,67239.75,81798.70019999999,86826.129,48412.9776,66076.0926,78485.5254,91136.38440000001,96252.4836,Armstrong ,7.607246168680631,48.96292801017582,24.88562460250703,18.54420121863652
85,35498.6304,54006.9024,67239.75,81798.70019999999,86826.129,48412.9776,66076.0926,78485.5254,91136.38440000001,96252.4836,Armstrong ,7.892720306513409,27.27969348659004,38.16091954022988,26.66666666666667
86,36074.9004,52775.244,64332.1812,79995.492,86832.1872,51573.1872,66931.488,78395.8764,91529.7012,98623.6524,Aroostook ,9.63041648294384,38.02661642682487,32.03391189321361,20.30905519701768
87,40029.132,57598.3068,76950.744,93481.0248,100703.5896,55517.4492,73468.2192,90449.7828,105266.988,112687.1952,Arthur ,4.375,24.0625,43.4375,28.125
88,41585.2944,59029.0428,71873.9292,87766.3764,94608.9732,55811.496,73124.8536,83840.238,97617.0588,104651.6484,Ascension Parish,11.31185693287604,29.1156295933366,30.85252327290544,28.71999020088192
89,35938.4208,50938.1424,61922.7072,75942.7848,81677.76,48179.49,63974.274,74211.8088,86766.4104,93406.0836,Ashe ,12.9778127613519,31.19988193043735,36.26703399419491,19.55527131401584
90,33036.984599999996,50549.5296,63738.170399999995,76667.51699999999,81849.45120000001,45314.058000000005,62764.5144,75161.55780000001,86347.4766,91835.8332,Ashland ,10.31590321021354,41.97162273593221,25.51394694190907,22.19852711194518
91,33036.984599999996,50549.5296,63738.170399999995,76667.51699999999,81849.45120000001,45314.058000000005,62764.5144,75161.55780000001,86347.4766,91835.8332,Ashland ,6.225009087604508,37.6408578698655,37.07742639040349,19.0567066521265
92,33088.5084,45460.9692,55637.3436,67275.6504,72063.8964,45245.5896,56855.262,66054.2112,76633.0728,81687.9552,Ashley ,14.8236522257848,50.87614644694654,22.28021773171277,12.01998359555589
93,31423.1928,47024.4,57716.2032,70506.8616,74555.8356,42846.7116,57890.0688,68638.998,79709.4732,84107.9184,Ashtabula ,13.6059566052004,43.38752835786167,27.92304112617067,15.08347391076726
94,34065.6852,53916.6912,65879.0976,81564.2232,86153.232,46137.6684,64863.258,76716.5796,90135.6264,94861.7748,Asotin ,8.465739821251242,28.09707050645482,39.75297914597815,23.68421052631579
95,36959.4144,49577.5248,59543.2152,75368.9532,81195.7848,50639.1096,62365.1016,72297.762,85635.0876,91467.8964,Assumption Parish,23.24226597026918,43.29047810365608,22.66639882148118,10.80085710459355
96,34508.5932,50911.7052,61009.998,73075.272,77610.8496,48710.88,62367.6624,72574.3944,82881.2988,87624.4752,Atascosa ,19.33331184112963,39.76594990167317,26.07756536316451,14.82317289403269
97,35880.9198,50068.417799999996,60308.772,72769.9512,78677.8068,49048.254,63688.230599999995,73988.83559999999,84460.5324,90645.129,Atchison ,6.047792309961649,42.43288425607238,29.37358639000885,22.14573704395713
98,35880.9198,50068.417799999996,60308.772,72769.9512,78677.8068,49048.254,63688.230599999995,73988.83559999999,84460.5324,90645.129,Atchison ,9.956264471314638,43.42680730640597,25.95832261384101,20.65860560843839
99,35879.8248,49730.1216,60937.0836,73229.1624,77515.2948,46945.8048,61154.7072,72422.8248,82900.6464,87567.3456,Athens ,9.08381414276556,31.27909245477604,25.57906179446442,34.05803160799397
100,33687.8376,46210.3416,54677.0916,66452.3028,71043.0588,44792.6424,57907.242,65548.26,76379.508,81286.1016,Atkinson ,33.15609570831751,33.02316748955564,22.93961260919104,10.88112419293581
101,40330.5732,66960.4104,84401.1684,107293.8984,113832.7032,56182.8516,79711.3824,95292.3048,116267.9064,124061.424,Atlantic ,12.20070799976993,32.40380040053753,25.98421903023901,29.41127256945352
102,36184.764,50586.9492,65734.6872,81174.4392,87511.8516,47878.8396,63173.7132,77450.73,92175.0936,97900.6116,Atoka ,16.30710017218677,41.6691988250785,27.36756811506128,14.65613288767345
103,35892.7236,46081.4856,53797.5756,65247.0936,70846.2948,49348.9752,59189.2032,66078.492,76623.3756,82569.1812,Attala ,18.82118214315404,34.70778950868733,33.3693573863164,13.10167096184222
104,34506.8436,48387.7908,59555.73,72564.6036,78475.266,48414.7848,62381.9712,73652.8596,84810.1752,90872.5368,Audrain ,12.72060508824203,42.5051570020628,29.63557185422874,15.13866605546642
105,35140.524,50780.3844,61094.514,72241.5468,77409.6216,46727.8296,63471.7788,72133.0956,81876.0996,87159.1812,Audubon ,8.215788171244741,36.08017817371937,34.22420193021529,21.47983172482059
106,32878.26,47545.7964,59056.8696,72356.9352,76477.0776,43848.2436,59356.4124,69534.984,81679.8048,86161.1892,Auglaize ,6.320556157918235,42.28586006760635,31.34128452069647,20.05229925377894
107,39627.9252,59469.6564,74149.5408,91444.6176,97635.0408,51700.4652,72789.744,85394.8476,100656.7152,107166.9612,Augusta ,10.5568117580554,40.81048615036744,26.05992085924251,22.57278123233465
108,36405.3252,50965.512,64544.7252,76994.502,83227.7052,51038.8476,65360.1264,77405.3844,88592.0628,94933.1952,Aurora ,9.965034965034965,37.64568764568764,34.09090909090909,18.2983682983683
109,36630.1608,54926.3904,65865.024,79393.6584,84691.998,51816.4512,66922.0308,77004.8208,89160.6096,94517.982,Austin ,12.78640776699029,33.73300970873787,29.59223300970874,23.88834951456311
110,39254.0532,57194.3256,76141.0308,94203.5328,100823.52,55071.6684,70773.6744,89077.8696,104640.1524,111554.8596,Autauga ,10.41550966829909,32.75862068965517,28.69440096935427,28.13146867269147
111,37041.0792,53147.6076,64520.1624,77669.0748,83686.008,49480.6404,66345.3516,76936.1544,88485.24,95416.7232,Avery ,13.88807285546416,29.54612220916569,32.68213866039953,23.88366627497062
112,34683.516,48754.7496,58753.2132,72112.2192,78042.5748,48901.3452,62231.8536,71395.9632,83232.7788,90089.9532,Avoyelles Parish,23.43178827313935,35.71794121947653,28.54218452990203,12.30808597748209
113,36922.488,50685.2232,61431.522,75180.984,79375.236,46621.002,62103.4104,71386.5408,83657.9004,88082.1912,Baca ,14.45972495088409,28.88015717092338,32.88801571709234,23.7721021611002
114,35072.394,46446.3396,54974.7192,65337.0588,69990.3168,46868.8656,58538.1564,66282.0756,75764.0568,81543.1404,Bacon ,16.65753424657534,39.35616438356164,32.93150684931507,11.05479452054795
115,34862.1912,47523.012,56688.3756,69950.0976,75459.6972,47468.142,59965.8108,68437.6236,81541.6812,86751.1704,Bailey ,28.10623556581986,34.20323325635104,22.72517321016166,14.96535796766744
116,34744.5976,49974.1316,61874.765600000006,75729.814,81407.3556,47810.107599999996,62502.6736,73734.59000000001,86197.25439999999,92245.74440000001,Baker ,14.18166464347918,43.77474006439014,26.85385549163456,15.18973980049612
117,34744.5976,49974.1316,61874.765600000006,75729.814,81407.3556,47810.107599999996,62502.6736,73734.59000000001,86197.25439999999,92245.74440000001,Baker ,16.3627863487611,34.12809724170173,31.32304815334268,18.18606825619448
118,34744.5976,49974.1316,61874.765600000006,75729.814,81407.3556,47810.107599999996,62502.6736,73734.59000000001,86197.25439999999,92245.74440000001,Baker ,9.216214011907676,29.35323383084577,37.22371747818286,24.2068346790637
119,37145.744999999995,50707.595400000006,64561.5792,78913.31880000001,84529.65239999999,49511.2086,63995.2176,76428.3018,89414.6334,95749.9866,Baldwin ,8.985843669162906,27.37549158213821,31.1883785969613,32.45028615173759
120,37145.744999999995,50707.595400000006,64561.5792,78913.31880000001,84529.65239999999,49511.2086,63995.2176,76428.3018,89414.6334,95749.9866,Baldwin ,14.30183459522423,32.72058823529412,27.69365171811299,25.28392545136867
