,county,state_y,median_family_income,1p0c,1p1c,1p2c,1p3c,1p4c,2p0c,2p1c,2p2c,2p3c,2p4c,median_family_cost,income_cost_diff,state,county_name,totalvotes,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,county_fips,State,Abv
54,Amite,Mississippi,47401.37109375,36526.4352,46885.884,54630.486,64842.8616,70528.5756,48722.4084,59751.3456,66687.4632,76006.6404,82020.8616,62297.1036,-12349.97450625,Mississippi,Amite,7196,0.3640911617565314,0.0013896609227348527,0.0029182879377431907,0.005836575875486381,0.6257643135075042,28005,Mississippi,MS
55,Anderson,Kansas,63011.1796875,36415.5288,51294.5976,60638.8128,73015.8516,78765.0708,48978.4008,64642.8924,74018.3844,84352.2252,90437.0856,68829.372,-1631.712712499997,Kansas,Anderson,3792,0.20622362869198313,0.0,0.021360759493670885,0.0,0.772415611814346,20003,Kansas,KS
56,Anderson,Kentucky,69496.6171875,34778.8092,49714.0428,61535.1972,74981.8824,79726.512,47839.4856,62149.8396,72535.0368,84601.8048,89559.8676,67342.4382,7346.777587500001,Kentucky,Anderson,13240,0.2527945619335347,0.0,0.013821752265861027,0.004003021148036254,0.729380664652568,21005,Kentucky,KY
57,Anderson,South Carolina,66383.2734375,35557.9164,50495.2152,59879.0388,72533.8716,78203.4612,47876.868,62671.5348,71296.3248,83515.8756,88712.5488,66983.9298,3711.7386374999987,South Carolina,Anderson,96093,0.28273651566711416,0.0018523721811162103,0.011686595277491597,0.0006035819466558438,0.7031209349276222,45007,South Carolina,SC
58,Anderson,Tennessee,63724.82421875,33252.0852,49944.8088,59896.8984,71971.0956,76713.2988,46195.3824,62443.6752,71053.1772,82011.7092,87150.3168,66748.4262,1281.1490187500021,Tennessee,Anderson,35570,0.3300815293786899,0.0,0.0,0.01813325836378971,0.6517852122575204,47001,Tennessee,TN
59,Anderson,Texas,54954.703125,34201.0164,47254.8576,56451.0876,70611.2232,75199.1016,47417.4348,59336.9712,68604.7968,81093.6852,86094.9492,63970.884,-4382.268075,Texas,Anderson,19227,0.20570031726218338,0.0011442242679565195,0.006969365995735164,0.0003120611639881417,0.7858740313101368,48001,Texas,TX
60,Andrew,Missouri,75624.7109375,36715.9572,55897.0836,71390.25,88054.9272,94836.0936,51082.1076,70241.232,83936.748,98742.75,105707.7072,77663.49900000001,5383.478937499996,Missouri,Andrew,9752,0.24107875307629203,0.001948318293683347,0.012305168170631665,0.0007178014766201805,0.7439499589827727,29003,Missouri,MO
61,Andrews,Texas,86046.9921875,37714.98,53762.478,63827.3148,76587.8316,81850.1304,51635.4432,66335.8416,75635.9532,87176.1036,92514.522,70985.8974,19711.1505875,Texas,Andrews,5863,0.14497697424526693,0.0017056114617090227,0.010233668770254136,0.0,0.8430837455227699,48003,Texas,TX
62,Androscoggin,Maine,69864.21875,37008.9492,55065.3576,68141.25,83224.4592,89385.3864,49919.1504,68612.3904,79991.9352,93091.1664,99621.1524,74302.1628,1251.8283499999961,Maine,Androscoggin,59361,0.46523811930392006,0.010158184666700359,0.018614915516921883,0.012937787436195482,0.4930509930762622,23001,Maine,ME
63,Angelina,Texas,59067.140625,37105.0992,48733.6704,57931.494,69345.018,74637.6972,48661.1808,60892.3128,69416.7828,80664.8376,85673.6136,65118.6654,-1825.1721749999997,Texas,Angelina,34574,0.26444727251692024,0.00216926013767571,0.007925030369641928,0.0001735408110140568,0.7252848961647481,48005,Texas,TX
64,Anne Arundel,Maryland,119051.2421875,44983.8276,75265.4592,90736.6932,112916.1324,118469.8008,60908.514,85972.4412,100099.1484,119861.6604,125860.2,95417.92079999999,33078.8009875,Maryland,Anne Arundel,309617,0.5581831746964798,0.0040275566264126325,0.015025014776320421,0.009928395404645093,0.412835858496142,24003,Maryland,MD
65,Anoka,Minnesota,97988.984375,38851.1136,69448.1664,89981.2092,114664.008,121006.092,52464.9552,80250.774,98896.6524,121172.568,127720.596,94438.9308,17738.210374999995,Minnesota,Anoka,211132,0.4778669268514484,0.003462288994562643,0.011722524297595818,0.010093211829566337,0.49685504802682684,27003,Minnesota,MN
66,Anson,North Carolina,52531.39453125,34256.4,48150.6912,58201.8276,69314.4204,73979.502,45143.7804,59905.23,69209.6952,79252.5468,84956.9412,64557.4626,-7373.835468750003,North Carolina,Anson,11194,0.5171520457387886,0.0012506700017866715,0.0036626764338038233,0.0025906735751295338,0.4753439342504913,37007,North Carolina,NC
67,Antelope,Nebraska,65682.984375,37512.978,55067.4312,74145.3108,90128.9592,97312.8576,53911.9692,70851.3048,87815.5308,102035.73,109415.7768,80980.42079999999,-5168.320424999998,Nebraska,Antelope,3583,0.12615126988557074,0.0,0.010605637733742674,0.0,0.8632430923806865,31003,Nebraska,NE
68,Antrim,Michigan,68512.9140625,33601.0428,50019.4572,64196.9352,79839.4044,84984.4692,47711.022,61761.0708,75790.4184,88951.7172,94334.9592,69993.6768,6751.843262499999,Michigan,Antrim,15949,0.37369114051037683,0.001755595962129287,0.011850272744372689,0.0015047965389679604,0.6111981942441532,26009,Michigan,MI
69,Apache,Arizona,42365.81640625,37445.4204,53914.254,67992.9312,82888.0488,89544.8028,52029.984,68044.008,81151.7988,94389.6444,102076.77,74597.90340000001,-25678.19159375,Arizona,Apache,35172,0.6622597520755146,0.0,0.012424655976344819,0.0,0.3253155919481406,04001,Arizona,AZ
70,Appanoose,Iowa,54523.4375,33254.8212,48263.352,57824.0268,68738.0856,73089.6444,43932.624,60094.1304,68090.256,77869.9332,82331.1792,64092.193199999994,-5570.692900000002,Iowa,Appanoose,6516,0.2902087170042971,0.0013812154696132596,0.011049723756906077,0.003376304481276857,0.6939840392879066,19007,Iowa,IA
71,Appling,Georgia,51470.68359375,33770.5692,45764.3904,54211.5936,66575.4252,71111.8824,44864.0064,57553.488,65149.4184,76567.008,82231.8516,61351.4532,-6082.804406249998,Georgia,Appling,8341,0.21328377892339048,0.0,0.00431602925308716,0.0,0.7824001918235224,13001,Georgia,GA
72,Appomattox,Virginia,70459.7734375,36140.7192,52406.9592,65412.6744,79198.8636,85023.768,48408.4224,65571.5268,77041.998,89148.2232,95068.1196,71306.7624,4888.246637499993,Virginia,Appomattox,9268,0.26089771255934396,0.0,0.01283987915407855,0.0031290461804056972,0.7231333621061717,51011,Virginia,VA
73,Aransas,Texas,59862.9296875,35612.5404,51224.3256,61699.1772,77728.5348,82838.8596,48637.1772,62985.2928,73515.5976,87568.3296,92718.744,68250.4452,-3122.363112500003,Texas,Aransas,12290,0.2372660699755899,0.0025223759153783563,0.00838079739625712,8.136696501220504e-05,0.7517493897477624,48007,Texas,TX
74,Arapahoe,Colorado,96874.875,45194.2116,74038.2888,91131.234,115581.1992,121572.228,58755.27,85423.1724,101250.4104,123230.868,129681.96,96190.8222,11451.702600000004,Colorado,Arapahoe,350183,0.60998677834161,0.002644331678008356,0.015486188649934464,0.00829280690381886,0.36358989442662837,08005,Colorado,CO
75,Archer,Texas,85916.5859375,34558.6848,49478.0388,59979.516,73509.9312,79119.9252,48106.7868,62504.3088,73156.2132,84825.984,90616.3416,67830.261,23412.2771375,Texas,Archer,4796,0.09299416180150125,0.0008340283569641367,0.009382819015846538,0.0002085070892410342,0.896580483736447,48009,Texas,TX
76,Archuleta,Colorado,63746.38671875,39417.9468,57635.3784,69933.5856,84012.9552,89112.6324,49748.478,69553.6176,80001.5796,92231.496,97590.2808,74967.5826,-5807.230881249998,Colorado,Archuleta,9144,0.40879265091863515,0.0020778652668416446,0.013123359580052493,0.00853018372703412,0.5674759405074365,08007,Colorado,CO
77,Arenac,Michigan,54604.5546875,32721.8436,48418.7016,61964.268,76116.1056,80406.8376,44960.9064,59497.008,72990.486,84977.73,89485.9752,67477.37700000001,-4892.453312500002,Michigan,Arenac,8831,0.31412071113124224,0.0013588495074170536,0.010984033518287849,0.0022647491790284227,0.6712716566640244,26011,Michigan,MI
78,Arkansas,Arkansas,58720.07421875,33446.8212,46088.5872,56318.238,67403.8296,72209.262,44478.48,57722.0976,67032.6972,77055.4332,82953.6912,62377.3974,997.976618749999,Arkansas,Arkansas,6292,0.28893833439287986,0.0025429116338207248,0.007310870947234584,0.017164653528289893,0.684043229497775,05001,Arkansas,AR
79,Arlington,Virginia,165123.890625,57630.492,86196.5628,107480.7888,133759.416,141248.028,71190.4452,99173.9652,118614.258,143387.784,152313.132,113047.5234,65949.925425,Virginia,Arlington,130739,0.8057580370050252,0.0,0.014043246468154108,0.009492194371993055,0.17070652215482757,51013,Virginia,VA
80,Armstrong,Pennsylvania,66452.078125,32288.61,51207.5916,65569.2828,78725.988,83241.6852,44717.7948,62168.25,76549.4244,87583.8396,92155.002,71059.3536,4283.828125,Pennsylvania,Armstrong,36370,0.2325268078086335,0.0,0.011657959857025021,0.0,0.7558152323343414,42005,Pennsylvania,PA
81,Armstrong,Texas,81611.109375,38708.6508,56806.2132,68910.2172,84871.4124,90410.5728,52108.1604,69983.9352,80421.6264,94688.9292,100349.9652,75202.78080000001,11627.174174999993,Texas,Armstrong,1112,0.06744604316546762,0.0,0.0017985611510791368,0.0,0.9307553956834532,48011,Texas,TX
82,Aroostook,Maine,57900.66796875,36074.9004,52775.244,64332.1812,79995.492,86832.1872,51573.1872,66931.488,78395.8764,91529.7012,98623.6524,72663.6822,-9030.820031249998,Maine,Aroostook,36210,0.38541839270919637,0.006434686550676609,0.011626622479977906,0.01436067384700359,0.5821596244131455,23003,Maine,ME
83,Arthur,Nebraska,69470.9453125,40029.132,57598.3068,76950.744,93481.0248,100703.5896,55517.4492,73468.2192,90449.7828,105266.988,112687.1952,83700.2634,-3997.273887500007,Nebraska,Arthur,284,0.07394366197183098,0.0,0.01056338028169014,0.0,0.9154929577464789,31005,Nebraska,NE
84,Ascension,Louisiana,95380.84375,41585.2944,59029.0428,71873.9292,87766.3764,94608.9732,55811.496,73124.8536,83840.238,97617.0588,104651.6484,78482.54579999999,22255.990149999998,Louisiana,Ascension,62325,0.32730044123545926,0.0,0.01309265944645006,0.006787003610108303,0.6528198957079824,22005,Louisiana,LA
