,county_name,noHS,HS,someCol,Col
26,DeKalb County,21.79099531955432,33.49210951414489,30.28414033053059,14.4327548357702
27,Elmore County,12.35506526204201,32.05293844828729,31.02762870204731,24.5643675876234
28,Escambia County,18.26489345154767,43.74319489811791,25.44330377974802,12.54860787058641
29,Etowah County,13.80137269494749,33.75368670580777,34.43589955621709,18.00904104302765
30,Fayette County,16.96816837710906,40.99843451034963,30.19655592276917,11.83684118977214
31,Franklin County,20.50166128503907,42.19196031634611,23.0333660910665,14.27301230754832
32,Geneva County,17.50823854576379,36.56319761879451,32.4386095460827,13.48995428935899
33,Greene County,15.55836646187206,39.2663534513914,32.47199132634622,12.70328876039031
34,Hale County,18.73141724479683,39.0782953419227,26.402378592666,15.78790882061447
35,Henry County,18.68546139977053,32.21603015899033,27.52007867562695,21.5784297656122
36,Houston County,12.24323332291086,32.127951712231,33.40175913212523,22.22705583273291
37,Jackson County,17.57405393937787,38.26937866291867,28.0543106420218,16.10225675568167
38,Jefferson County,9.03861114077083,26.40610665731115,29.89895600217036,34.65632619974766
39,Lamar County,17.54121431443506,41.72698029754724,30.78005629272216,9.951749095295536
40,Lauderdale County,11.30641551659828,35.08019395747855,28.13160512246674,25.48178540345642
41,Lawrence County,16.76595379933999,41.32344747782111,26.61895169930999,15.29164702352891
42,Lee County,8.624695361914787,22.05153006552682,30.70277754070534,38.62099703185306
43,Limestone County,13.47949140370886,27.30959320745153,30.82555372505949,28.38536166378012
44,Lowndes County,15.25589178636174,43.1460047413192,26.4956073072096,15.10249616510947
45,Macon County,16.48456814738017,30.02631788818885,32.25137570779169,21.23773825663929
46,Madison County,8.02713784793211,19.17467134193003,28.51149208669796,44.2866987234399
47,Marengo County,13.41613002146581,35.67157313707452,31.2097516099356,19.70254523152407
48,Marion County,18.66698405141633,35.57248274220424,33.14925017852892,12.61128302785051
49,Marshall County,16.48444979770839,31.1590845918651,30.96605824762964,21.39040736279687
50,Mobile County,12.14035964035964,34.24718139003853,29.6888825460254,23.92357642357642
51,Monroe County,17.59573087185404,44.74652051633375,24.77103915771255,12.88670945409966
52,Montgomery County,12.2708437147578,25.82286448634897,28.54848015945868,33.35781163943455
53,Morgan County,15.31592110230276,31.15090600226501,30.77576443941109,22.75740845602114
54,Perry County,21.36690647482014,40.08992805755396,19.64028776978417,18.90287769784173
55,Pickens County,16.72883787661406,42.34576757532281,27.62553802008608,13.29985652797704
56,Pike County,12.70684055879169,36.26475591525337,23.27439558740141,27.75400793855353
57,Randolph County,19.72224024920501,34.42144201440717,29.63203322733467,16.22428450905315
58,Russell County,14.74563097058897,29.52134994859966,38.46751748865431,17.26550159215706
59,St. Clair County,13.98776681275026,35.15780180975502,32.3627707538544,18.49166062364032
60,Shelby County,6.375767845795383,19.81373120101674,29.01861364117772,44.79188731201017
61,Sumter County,12.72680145152929,33.54069466044582,34.26645930533955,19.46604458268533
62,Talladega County,17.1068458762617,34.56932168819623,32.39370325819779,15.93012917734428
63,Tallapoosa County,18.43856076035302,31.56822810590631,31.92803801765105,18.06517311608961
64,Tuscaloosa County,10.35775248933144,29.77809388335704,29.21977240398293,30.64438122332859
65,Walker County,17.708654821216,34.55315021383537,33.64930999515012,14.08888496979851
66,Washington County,13.83067122149386,42.52608254085495,30.08032499307543,13.56292124457575
67,Wilcox County,20.75761811573945,39.22281241263629,29.04668716801789,10.97288230360637
68,Winston County,20.68641278796427,38.72825575928538,27.12740949694405,13.4579219558063
69,Alaska,6.744470273461854,28.46369187954961,34.19800900941819,30.59382883757035
70,Aleutian Islands,,,,
71,Aleutians East Borough,15.28098537336412,41.57043879907621,27.21324095458045,15.93533487297922
72,Aleutians West Census Area,8.963001563314227,43.3559145388223,30.87545596664929,16.80562793121417
73,Anchorage Municipality,5.844955305413011,23.71399602714783,33.66888760139049,36.77216106604867
74,Bethel Census Area,18.03491271820449,46.62344139650873,22.61346633416459,12.7281795511222
75,Bristol Bay Borough,5.287713841368585,30.17107309486781,42.45723172628305,22.08398133748056
76,"Chugach Census Area, Alaska",4.584352078239609,23.32925835370823,41.34066829665851,30.74572127139364
