state,county_name,totalvotes,county_fips,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,fips
Alabama,St. Clair,44441,01115,0.1742535046466101,0.0,0.0,0.011948426003015234,0.8137980693503747,1115
Alabama,Sumter,6291,01119,0.7388332538547131,0.0,0.0,0.00715307582260372,0.2540136703226832,1119
Alabama,Talladega,35663,01121,0.3683930123657572,0.0,0.0,0.008131677088298797,0.623475310545944,1121
Alabama,Tallapoosa,20991,01123,0.2791196226954409,0.0,0.0,0.008051069505978753,0.7128293077985803,1123
Alabama,Tuscaloosa,90172,01125,0.41881071729583463,0.0,0.0,0.014305992991172425,0.566883289712993,1125
Alabama,Walker,31170,01127,0.15508501764517163,0.0,0.0,0.010715431504651908,0.8341995508501765,1127
Alabama,Washington,8876,01129,0.254393871113114,0.0,0.0,0.00608382154123479,0.7395223073456512,1129
Alabama,Wilcox,5903,01131,0.6857530069456209,0.0,0.0,0.003726918516008809,0.3105200745383703,1131
Alabama,Winston,11284,01133,0.08631690889755406,0.0,0.0,0.010191421481744062,0.9034916696207019,1133
Alaska,District 1,7314,02001,0.4753896636587367,0.006836204539239814,0.029532403609515995,0.008203445447087777,0.48003828274541976,2001
Alaska,District 10,11205,02010,0.2433734939759036,0.00571173583221776,0.025524319500223113,0.004194556001784917,0.7211958946898706,2010
Alaska,District 11,10628,02011,0.29450508091832894,0.008280015054572827,0.025310500564546482,0.0042340986074520135,0.6676703048550997,2011
Alaska,District 12,11238,02012,0.2631251112297562,0.004805125467164976,0.02562733582487987,0.00409325502758498,0.702349172450614,2012
Alaska,District 13,7713,02013,0.3456502009594192,0.005186049526772981,0.03993258135615195,0.006093608193958253,0.6031375599636977,2013
Alaska,District 14,11443,02014,0.37236738617495413,0.004369483527047103,0.031110722712575374,0.005418159573538407,0.586734248011885,2014
Alaska,District 15,5559,02015,0.4716675661090124,0.0064759848893685915,0.03543802842237813,0.0059363194819212085,0.48048210109731965,2015
Alaska,District 16,8118,02016,0.5264843557526484,0.007883715200788372,0.025868440502586843,0.0066518847006651885,0.43311160384331115,2016
